ANO_DEL_REPORTE_DE_INFORMACION,FECHA_DE_REPORTE_DE_LA_INFORMACIÓN,UBIGEO_DE_SU_UBICACIÓN_GEOGRÁFICA_SEGÚN_EL_INEI,DEPARTAMENTO_DEL_CENTRO_DE_ATENCIÓN,PROVINCIA_DEL_CENTRO_DE_ATENCIÓN,DISTRITO_DEL_CENTRO_DE_ATENCIÓN,CODIGO_DEL_CAR,NOMBRE_DEL_CEDIF,NUM_DE_CEDIF,NUM_DE_POBLACION_ATENDIDA_-_TOTAL,NUM_DE_POBLACION_ATENDIDA_-_HOMBRES,NUM_DE_POBLACION_ATENDIDA_-_MUJERES,NUM_DE_POBLACION_ATENDIDA_-_1_11-_TOTAL,NUM_DE_POBLACION_ATENDIDA_-_1_11_-_HOMBRES,NUM_DE_POBLACION_ATENDIDA_-_1_11_-_MUJERES,NUM_DE_POBLACION_ATENDIDA_-_12_17_-_TOTAL,NUM_DE_POBLACION_ATENDIDA_-_12_17_-_HOMBRES,NUM_DE_POBLACION_ATENDIDA_-_12_17_-_MUJERES,NUM_DE_POBLACION_ATENDIDA_-_18_25_-_TOTAL,NUM_DE_POBLACION_ATENDIDA_-_18_25_-_HOMBRES,NUM_DE_POBLACION_ATENDIDA_-_18_25_-_MUJERES,NUM_DE_POBLACION_ATENDIDA_-_26_59_-_TOTAL,NUM_DE_POBLACION_ATENDIDA_-_26_59_-_HOMBRES,NUM_DE_POBLACION_ATENDIDA_-_26_59_-_MUJERES,NUM_DE_POBLACION_ATENDIDA_-_60_MAS_-_TOTAL,NUM_DE_POBLACION_ATENDIDA_-_60_MAS_-_HOMBRES,NUM_DE_POBLACION_ATENDIDA_-_60_MAS_-_MUJERES
2014,42014,150110,LIMA METROPOLITANA,LIMA,COMAS,120100,ANO NUEVO,1,917,305,612,312,,,55,,,97,,,376,,,77,,
2014,42014,150110,LIMA METROPOLITANA,LIMA,COMAS,120200,COLLIQUE,1,547,177,370,214,,,54,,,60,,,186,,,33,,
2014,42014,150107,LIMA METROPOLITANA,LIMA,CHACLACAYO,120300,DALIAS,1,853,320,533,385,,,144,,,49,,,207,,,68,,
2014,42014,150143,LIMA METROPOLITANA,LIMA,VILLA MARIA DEL TRIUNFO,120400,ROSA DE LIMA,1,2161,879,1282,658,,,214,,,329,,,817,,,117,,
2014,42014,150133,LIMA METROPOLITANA,LIMA,SAN JUAN DE MIRAFLORES,120500,PAMPLONA ALTA,1,1509,640,869,753,,,354,,,90,,,220,,,92,,
2014,42014,150101,LIMA METROPOLITANA,LIMA,LIMA,120600,PESTALOZZI,1,579,217,362,212,,,43,,,33,,,172,,,119,,
2014,42014,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,120800,SÁNCHEZ ARTEAGA,1,2209,1220,989,757,,,482,,,326,,,494,,,150,,
2014,42014,150142,LIMA METROPOLITANA,LIMA,VILLA EL SALVADOR,120900,SANTA BERNARDITA,1,474,147,327,175,,,21,,,65,,,182,,,31,,
2014,42014,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,121000,TAHUANTINSUYO,1,4335,2672,1663,1748,,,493,,,657,,,1152,,,279,,
2014,42014,150102,LIMA METROPOLITANA,LIMA,ANCÓN,121100,TURQUEZAS,1,1461,549,912,662,,,236,,,58,,,412,,,93,,
